É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2015/01/27 14:58:43

,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy
îNåéì˙,ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈ê[êœê·(cm),ç≈ê[êœê·(cm),ç≈ê[êœê·(cm),ç≈ê[êœê·(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ç~ê·ó çáåv(cm),ïΩãœåªínãCà≥(hPa),ïΩãœåªínãCà≥(hPa),ïΩãœåªínãCà≥(hPa),ïΩãœéºìx(Åì),ïΩãœéºìx(Åì),ïΩãœéºìx(Åì),ïΩãœïóë¨(m/s),ïΩãœïóë¨(m/s),ïΩãœïóë¨(m/s),ç≈ëÂïóë¨(m/s),ç≈ëÂïóë¨(m/s),ç≈ëÂïóë¨(m/s),ç≈ëÂïóë¨(m/s),ç≈ëÂïóë¨(m/s)
,,,,,,,,,,,,,,,,,,,,,,,,,,ïóå¸,ïóå¸,
,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,,ïiéøèÓïÒ,ãœéøî‘çÜ
2010/12/1,5.4,8,1,-1.3,8,1,12,0,8,1,0,1,8,1,1015.1,8,1,78,8,1,1.8,8,1,5.8,8,ñkñkêº,8,1
2010/12/2,9.6,8,1,-0.7,8,1,3,0,8,1,0,1,8,1,1020.6,8,1,77,8,1,4.1,8,1,11.3,8,ìÏ,8,1
2010/12/3,12.2,8,1,9.4,8,1,0,1,8,1,0,1,8,1,996.1,8,1,84,8,1,6.7,8,1,15.1,8,ìÏìÏìå,8,1
2010/12/4,10.8,8,1,3.9,8,1,0,1,8,1,0,1,8,1,991.5,8,1,63,8,1,4.4,8,1,11.6,8,ñkêº,8,1
2010/12/5,9.3,8,1,1.5,8,1,0,1,8,1,0,1,8,1,1006.1,8,1,64,8,1,2.0,8,1,4.7,8,ìÏìÏìå,8,1
2010/12/6,9.1,8,1,1.1,8,1,0,1,8,1,0,1,8,1,1006.9,8,1,80,8,1,3.0,8,1,7.2,8,ñkñkêº,8,1
2010/12/7,2.1,8,1,0.1,8,1,0,0,8,1,0,1,8,1,1007.0,8,1,86,8,1,4.1,8,1,8.1,8,ñkêº,8,1
